22.86667 +34.50000 And
22.86667 +52.50000 And  Lac
23.33333 +52.50000 And  Cas
23.33333 +50.00000 And  Cas
23.58333 +50.00000 And  Cas
23.58333 +48.00000 And  Cas
 0.16667 +48.00000 And  Cas
 0.16667 +46.00000 And  Cas
 0.86667 +46.00000 And  Cas
 0.86667 +48.00000 And  Cas
 1.11667 +48.00000 And  Cas
 1.11667 +50.00000 And  Cas
 1.36667 +50.00000 And  Cas
 1.66667 +50.00000 And  Per
 1.66667 +47.00000 And  Per
 2.04167 +47.00000 And  Per
 2.04167 +50.50000 And  Per
 2.51667 +50.50000 And  Per
 2.51667 +36.75000 And  Per
 2.00000 +36.75000 And  Tri
 2.00000 +35.00000 And  Tri
 1.40833 +35.00000 And  Tri
 1.40833 +33.00000 And  Tri
 0.71667 +33.00000 And  Psc
 0.71667 +23.75000 And  Psc
 0.85000 +23.75000 And  Psc
 0.85000 +21.00000 And  Psc
 0.14167 +21.00000 And  Psc
 0.14167 +22.00000 And  Peg
 0.06667 +22.00000 And  Peg
 0.06667 +28.00000 And  Peg
 0.00000 +28.00000 And  Peg
 0.00000 +31.33333 And  Peg
23.75000 +31.33333 And  Peg
23.75000 +32.08333 And  Peg
23.50000 +32.08333 And  Peg
23.50000 +34.50000 And  Peg
22.86667 +34.50000 And  Peg
 9.36667 -24.00000 Ant
 9.75000 -24.00000 Ant  Hya
 9.75000 -26.50000 Ant  Hya
10.25000 -26.50000 Ant  Hya
10.25000 -29.16667 Ant  Hya
10.58333 -29.16667 Ant  Hya
10.58333 -31.16667 Ant  Hya
10.83333 -31.16667 Ant  Hya
10.83333 -35.00000 Ant  Hya
11.00000 -35.00000 Ant  Hya
11.00000 -39.75000 Ant  Cen
 9.36667 -39.75000 Ant  Vel
 9.36667 -36.75000 Ant  Vel
 9.36667 -24.00000 Ant  Pyx
13.66667 -82.50000 Aps
13.66667 -75.00000 Aps  Cha
13.66667 -70.00000 Aps  Mus
14.75000 -70.00000 Aps  Cir
17.00000 -70.00000 Aps  TrA
17.00000 -67.50000 Aps  TrA
17.50000 -67.50000 Aps  Ara
18.00000 -67.50000 Aps  Pav
18.00000 -75.00000 Aps  Pav
18.00000 -82.50000 Aps  Oct
13.66667 -82.50000 Aps  Oct
20.53333 -00.00000 Aqr
20.53333 +02.00000 Aqr  Aql
20.83333 +02.00000 Aqr  Del
21.33333 +02.00000 Aqr  Equ
21.46667 +02.00000 Aqr  Peg
21.46667 +02.75000 Aqr  Peg
21.66667 +02.75000 Aqr  Peg
21.66667 +01.75000 Aqr  Peg
22.00000 +01.75000 Aqr  Peg
22.00000 +02.00000 Aqr  Peg
22.75000 +02.00000 Aqr  Peg
22.75000 -00.00000 Aqr  Psc
22.75000 -04.00000 Aqr  Psc
23.83333 -04.00000 Aqr  Psc
23.83333 -07.00000 Aqr  Psc
23.83333 -25.50000 Aqr  Cet
23.00000 -25.50000 Aqr  Scl
21.86667 -25.50000 Aqr  PsA
21.86667 -09.00000 Aqr  Cap
21.33333 -09.00000 Aqr  Cap
21.33333 -15.00000 Aqr  Cap
20.53333 -15.00000 Aqr  Cap
20.53333 -09.00000 Aqr  Cap
20.53333 -00.00000 Aqr  Aql
18.58333 -00.00000 Aql
18.58333 +02.00000 Aql  Ser2
18.86667 +02.00000 Aql  Ser2
18.86667 +06.25000 Aql  Ser2
18.66222 +06.25000 Aql  Ser2
18.66222 +12.00000 Aql  Oph
18.86667 +12.00000 Aql  Her
18.86667 +18.50000 Aql  Her
19.00000 +18.50000 Aql  Sge
19.00000 +16.16667 Aql  Sge
19.83333 +16.16667 Aql  Sge
19.83333 +15.75000 Aql  Sge
20.14167 +15.75000 Aql  Sge
20.14167 +08.50000 Aql  Del
20.30000 +08.50000 Aql  Del
20.30000 +02.00000 Aql  Del
20.53333 +02.00000 Aql  Del
20.53333 -00.00000 Aql  Aqr
20.53333 -09.00000 Aql  Aqr
20.00000 -09.00000 Aql  Cap
20.00000 -12.03333 Aql  Cap
18.86667 -12.03333 Aql  Sgr
18.86667 -04.00000 Aql  Sct
18.58333 -04.00000 Aql  Sct
18.58333 -00.00000 Aql  Ser2
16.42083 -60.00000 Ara
16.42083 -45.50000 Ara  Nor
17.83333 -45.50000 Ara  Sco
18.00000 -45.50000 Ara  Cra
18.00000 -57.00000 Ara  Tel
17.50000 -57.00000 Ara  Pav
17.50000 -67.50000 Ara  Pav
17.00000 -67.50000 Ara  Aps
16.83333 -67.50000 Ara  TrA
16.83333 -65.00000 Ara  TrA
16.75000 -65.00000 Ara  TrA
16.75000 -63.58333 Ara  TrA
16.58333 -63.58333 Ara  TrA
16.58333 -61.00000 Ara  TrA
16.42083 -61.00000 Ara  TrA
16.42083 -60.00000 Ara  TrA
 2.00000 +09.91667 Ari
 1.66667 +09.91667 Ari  Psc
 1.66667 +25.00000 Ari  Psc
 1.91667 +25.00000 Ari  Tri
 1.91667 +27.25000 Ari  Tri
 2.41667 +27.25000 Ari  Tri
 2.41667 +30.66667 Ari  Tri
 2.71667 +30.66667 Ari  Tri
 3.36667 +30.66667 Ari  Per
 3.36667 +19.00000 Ari  Tau
 3.28333 +19.00000 Ari  Tau
 3.28333 +09.91667 Ari  Tau
 2.00000 +09.91667 Ari  Cet
 4.50000 +30.66667 Aur
