constellation,num_pairs,stars,name,ra,dec,zodiac
Aql,8,"['98036', '97649', '97649', '97278', '97649', '95501', '95501', '97804', '99473', '97804', '95501', '93747', '93747', '93244', '95501', '93805']",Aquila,"[19.921887, 19.846388, 19.846388, 19.770994, 19.846388, 19.424972, 19.424972, 19.874547, 20.188413, 19.874547, 19.424972, 19.090169, 19.090169, 18.993711, 19.424972, 19.10415]","[6.406763, 8.868322000000003, 8.868322000000003, 10.613261, 8.868322000000003, 3.114775, 3.114775, 1.005661, -0.8214610000000001, 1.005661, 3.114775, 13.863478, 13.863478, 15.068298, 3.114775, -4.882554]",False
And,5,"['677', '3092', '3092', '5447', '9640', '5447', '5447', '4436', '4436', '3881']",Andromeda,"[0.139791, 0.655462, 0.655462, 1.162194, 2.064984, 1.162194, 1.162194, 0.945885, 0.945885, 0.830234]","[29.090432, 30.861024, 30.861024, 35.620558, 42.329725, 35.620558, 35.620558, 38.499345, 38.499345, 41.078911]",False
Scl,3,"['116231', '4577', '4577', '115102', '115102', '116231']",Sculptor,"[23.549512, 0.976766, 0.976766, 23.313733, 23.313733, 23.549512]","[-37.818268, -29.357449, -29.357449, -32.532027, -32.532027, -37.818268]",False
Ara,7,"['88714', '85792', '85792', '83081', '83081', '82363', '82363', '85727', '85727', '85267', '85267', '85258', '85258', '88714']",Ara,"[18.11052, 17.530695, 17.530695, 16.977006, 16.977006, 16.82976, 16.82976, 17.518318, 17.518318, 17.423239000000002, 17.423239000000002, 17.421665, 17.421665, 18.11052]","[-50.09147700000001, -49.876145, -49.876145, -55.990141, -55.990141, -59.041378, -59.041378, -60.683848, -60.683848, -56.377727, -56.377727, -55.529884, -55.529884, -50.09147700000001]",False
Lib,5,"['77853', '76333', '76333', '74785', '74785', '72622', '72622', '73714', '73714', '76333']",Libra,"[15.897093, 15.592104999999998, 15.592104999999998, 15.283449, 15.283449, 14.847976999999998, 14.847976999999998, 15.067839, 15.067839, 15.592104999999998]","[-16.729293, -14.789537, -14.789537, -9.382917, -9.382917, -16.041778, -16.041778, -25.281965, -25.281965, -14.789537]",True
Cet,20,"['10324', '11484', '8102', '3419', '3419', '1562', '3419', '5364', '5364', '6537', '6537', '8645', '8645', '11345', '11345', '12390', '12390', '12770', '12770', '11783', '11783', '8102', '10826', '12390', '10826', '12387', '12387', '12706', '12706', '14135', '14135', '13954', '13954', '12828', '12828', '11484', '11484', '12093', '12093', '12706']",Cetus,"[2.2166650000000003, 2.469317, 1.734479, 0.72649, 0.72649, 0.323799, 0.72649, 1.1431639999999998, 1.1431639999999998, 1.40039, 1.40039, 1.857676, 1.857676, 2.432501, 2.432501, 2.659398, 2.659398, 2.735375, 2.735375, 2.534786, 2.534786, 1.734479, 2.322442, 2.659398, 2.322442, 2.658044, 2.658044, 2.721678, 2.721678, 3.037992, 3.037992, 2.99525, 2.99525, 2.749039, 2.749039, 2.469317, 2.469317, 2.597909, 2.597909, 2.721678]","[8.846717, 8.460054, -15.93748, -17.986604999999994, -17.986604999999994, -8.823921, -17.986604999999994, -10.182264, -10.182264, -8.183257000000001, -8.183257000000001, -10.335038, -10.335038, -12.29048, -12.29048, -11.872156, -11.872156, -13.858695999999998, -13.858695999999998, -15.244677, -15.244677, -15.93748, -2.977643, -11.872156, -2.977643, 0.328511, 0.328511, 3.235818, 3.235818, 4.089734, 4.089734, 8.907364999999997, 8.907364999999997, 10.114146, 10.114146, 8.460054, 8.460054, 5.593246, 5.593246, 3.235818]",False
Ari,3,"['13209', '9884', '9884', '8903', '8903', '8832']",Aries,"[2.833063, 2.119555, 2.119555, 1.910668, 1.910668, 1.89217]","[27.260507, 23.462423, 23.462423, 20.808035, 20.808035, 19.293852]",True
Sct,5,"['92175', '92202', '92202', '92814', '92814', '90595', '90595', '91117', '91117', '92175']",Scutum,"[18.786242, 18.791375, 18.791375, 18.911976, 18.911976, 18.486626, 18.486626, 18.586785, 18.586785, 18.786242]","[-4.7478669999999985, -5.705147, -5.705147, -15.603036, -15.603036, -14.565813, -14.565813, -8.244073, -8.244073, -4.7478669999999985]",False
Pyx,2,"['42515', '42828', '42828', '43409']",Pyxis,"[8.668372999999999, 8.726539, 8.726539, 8.842203999999997]","[-35.308352, -33.186384999999994, -33.186384999999994, -27.709844]",False
Boo,9,"['71795', '69673', '69673', '72105', '72105', '74666', '74666', '73555', '73555', '71075', '71075', '71053', '71053', '69673', '69673', '67927', '67927', '67459']",Bootes,"[14.68582, 14.261029999999998, 14.261029999999998, 14.749784, 14.749784, 15.258376, 15.258376, 15.032436, 15.032436, 14.534636, 14.534636, 14.5305, 14.5305, 14.261029999999998, 14.261029999999998, 13.911411, 13.911411, 13.824623]","[13.7283, 19.18241, 19.18241, 27.074222, 27.074222, 33.314833, 33.314833, 40.390566, 40.390566, 38.308253, 38.308253, 30.371437, 30.371437, 19.18241, 19.18241, 18.397717, 18.397717, 15.797904999999998]",False
